-6363744 
-6365434 -4865109 -6368578 -2613602 -4465854 -3506357 -2745764 -6363568 
-6365258 -4860982 -6368462 -2612074 -4463861 -3497819 -2743196 -6363330 
-6365019 -4843802 -6368193 -2612081 -4465940 -3483544 -2744432 -6365396 
-6367085 -4807558 -6370214 -2571740 -4427288 -3453582 -2705237 -6365716 
-6367402 -4830273 -6370551 -2580252 -4436125 -3466563 -2715175 -6365796 
-6367481 -4836414 -6370690 -2579624 -4433902 -3472028 -2713397 -6365804 
-6367491 -4821596 -6370684 -2588272 -4442744 -3458071 -2721617 -6365692 
-6367383 -4820318 -6370504 -2597062 -4451654 -3459429 -2730400 -6366253 
-6367942 -4830307 -6371069 -2581919 -4436671 -3470649 -2716474 -6366705 
-6368395 -4834437 -6371587 -2576052 -4430635 -3470511 -2710716 -6366481 
-6368172 -4824160 -6371363 -2587164 -4442156 -3459874 -2721621 -6366511 
-6368202 -4816484 -6371324 -2593069 -4448062 -3456669 -2727382 -6367441 
-6369132 -4819812 -6372243 -2574774 -4429289 -3462927 -2708862 -6368734 
-6370427 -4818414 -6373611 -2555824 -4409358 -3458206 -2689041 -6369781 
-6371474 -4800051 -6374690 -2556516 -4412788 -3435900 -2691782 -6369366 
-6371057 -4802467 -6374202 -2579560 -4435466 -3439170 -2715339 -6370298 
-6371991 -4803954 -6375112 -2558921 -4413406 -3447452 -2693321 -6371948 
-6373638 -4800772 -6376831 -2541764 -4395276 -3438597 -2675859 -6370770 
-6372456 -4823289 -6375674 -2584494 -4438791 -3453213 -2719011 -6369703 
-6371394 -4825643 -6374549 -2607404 -4460359 -3462221 -2740439 -6369366 
-6371060 -4837352 -6374156 -2607554 -4459899 -3478169 -2740626 -6369607 
-6371298 -4852061 -6374439 -2597226 -4450192 -3489950 -2731993 -6368984 
-6370669 -4857744 -6373857 -2610599 -4464312 -3490359 -2745619 -6368221 
-6369907 -4848366 -6373048 -2621410 -4475519 -3484191 -2756319 -6368067 
-6369760 -4852756 -6372834 -2623451 -4475886 -3490291 -2757213 -6368153 
-6369847 -4868042 -6372948 -2613108 -4466267 -3503402 -2747427 -6367989 
-6369683 -4868477 -6372847 -2611904 -4466572 -3499631 -2747853 -6367611 
-6369300 -4856169 -6372438 -2624438 -4477257 -3488299 -2758857 -6367371 
-6369052 -4856694 -6372122 -2626957 -4480076 -3492209 -2761879 -6367882 
-6369565 -4865239 -6372655 -2608086 -4461732 -3500936 -2743721 -6367976 
-6369662 -4870049 -6372818 -2610412 -4464603 -3499411 -2746612 -6367207 
-6368901 -4863232 -6372035 -2627219 -4481636 -3492823 -2762784 -6366933 
-6368621 -4858809 -6371684 -2631957 -4484973 -3492986 -2765665 -6367304 
-6368994 -4869437 -6372054 -2617775 -4471476 -3503869 -2753102 -6367474 
-6369167 -4874606 -6372298 -2610520 -4464913 -3504274 -2747141 -6367063 
-6368757 -4865723 -6371892 -2622821 -4477292 -3493861 -2759050 -6367017 
-6368710 -4857342 -6371772 -2628712 -4481440 -3489778 -2763142 -6367364 
-6369057 -4868202 -6372096 -2620891 -4473002 -3500912 -2755285 -6367852 
